Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
80,Ahmed Jahouh / Ahmed-Jahouh,ma MAR,MF,Goa,31,1988,9,9,791,1,0,0,0,4,1,0.11,0.00,0.11,0.11,0.11,Matches
81,Bikash Jairu / Bikash-Jairu,in IND,MF,Jamshedpur,37,1982,4,3,223,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
82,Juanan / Juanan,es ESP,DF,Bengaluru,32,1987,11,11,990,1,0,0,0,1,0,0.09,0.00,0.09,0.09,0.09,Matches
83,Jobby Justin / Jobby-Justin,in IND,FW,Kolkata,25,1993,7,1,164,1,1,0,0,0,0,0.55,0.55,1.10,0.55,1.10,Matches
84,Nikhil Kadam / Nikhil-Kadam,in IND,MF,NorthEast Utd,26,1993,5,3,215,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
85,Vishal Kaith / Vishal-Kaith,in IND,GK,Chennaiyin,23,1996,9,9,810,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
86,Rahul Kannoly Praveen / Rahul-Kannoly-Praveen,in IND,FW,Kerala Blasters,19,2000,5,3,315,1,0,0,0,0,0,0.29,0.00,0.29,0.29,0.29,Matches
87,Prasanth Karuthadathkuni / Prasanth-Karuthadathkuni,in IND,FW,Kerala Blasters,22,1997,10,9,764,0,1,0,0,0,0,0.00,0.12,0.12,0.00,0.12,Matches
88,Serge Kevyn / Serge-Kevyn,ga GAB,FW,Mumbai City,24,1994,9,2,324,1,0,0,0,2,0,0.28,0.00,0.28,0.28,0.28,Matches
89,Harmanjot Khabra / Harmanjot-Khabra,in IND,MF,Bengaluru,30,1988,11,11,930,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
90,Adil Khan / Adil-Khan,in IND,MF,Hyderabad FC,31,1988,6,6,540,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
91,Bilal Khan / Bilal-Khan,in IND,GK,Kerala Blasters,24,1994,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
92,Matthew Kilgallon / Matthew-Kilgallon,eng ENG,DF,Hyderabad FC,35,1984,10,10,900,1,0,0,0,1,0,0.10,0.00,0.10,0.10,0.10,Matches
93,Mislav Komorski / Mislav-Komorski,hr CRO,DF,NorthEast Utd,27,1992,7,7,585,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
94,Pritam Kotal / Pritam-Kotal,in IND,DF,Kolkata,25,1993,11,11,990,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
95,Roy Krishna / Roy-Krishna,fj FIJ,FW,Kolkata,31,1987,11,11,984,8,2,3,3,0,0,0.73,0.18,0.91,0.46,0.64,Matches
96,Nanda Kumar / Nanda-Kumar,in IND,MF,Delhi Dynamos,23,1995,10,9,817,0,1,0,0,1,0,0.00,0.11,0.11,0.00,0.11,Matches
97,Nishu Kumar / Nishu-Kumar,in IND,DF,Bengaluru,22,1997,11,11,926,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
98,Rohit Kumar / Rohit-Kumar,in IND,MF,Hyderabad FC,22,1997,7,6,485,1,1,0,0,0,0,0.19,0.19,0.37,0.19,0.37,Matches
99,Ashique Kuruniyan / Ashique-Kuruniyan,in IND,MF,Bengaluru,22,1997,11,9,834,0,1,0,0,3,0,0.00,0.11,0.11,0.00,0.11,Matches
100,Provat Lakra / Provat-Lakra,in IND,DF,NorthEast Utd,21,1997,1,0,13,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
101,R Laldanmawia / R-Laldanmawia,in IND,MF,Hyderabad FC,26,1992,3,2,165,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
